,team,playerName,CoverageType_pooled,FP_yards,FP_TD,FP_receiving,FP_total,Routes Run,FP/routes
298,BUF,Dawson Knox,Zone,28.200000000000003,18,22,68.2,209.0,0.3263157894736842
299,WAS,Dax Milne,Man,4.2,0,3,7.200000000000001,29.0,0.24827586206896554
300,WAS,Dax Milne,Other,0.0,0,0,0.0,4.0,0.0
301,WAS,Dax Milne,Zone,4.3,0,6,10.3,2.0,5.15
302,LAC,DeAndre Carter,Man,12.5,12,9,33.5,82.0,0.40853658536585363
303,LAC,DeAndre Carter,Other,4.5,6,7,17.5,25.0,0.7
304,LAC,DeAndre Carter,Zone,13.500000000000002,0,9,22.500000000000004,112.0,0.20089285714285718
305,NE,DeVante Parker,Man,17.7,6,15,38.7,119.0,0.32521008403361346
306,NE,DeVante Parker,Other,0.30000000000000004,6,1,7.3,15.0,0.48666666666666664
307,NE,DeVante Parker,Zone,34.9,0,25,59.900000000000006,146.0,0.4102739726027398
308,PHI,DeVonta Smith,Man,32.9,18,21,71.90000000000002,196.0,0.3668367346938777
309,PHI,DeVonta Smith,Other,17.8,6,16,39.8,59.0,0.6745762711864406
310,PHI,DeVonta Smith,Zone,49.00000000000001,6,34,88.99999999999999,210.0,0.42380952380952375
312,SEA,Dee Eskridge,Other,1.3,6,4,11.3,11.0,1.0272727272727273
313,SEA,Dee Eskridge,Zone,4.4,0,5,9.399999999999999,28.0,0.3357142857142857
314,SF,Deebo Samuel,Man,43.400000000000006,6,24,73.4,188.0,0.39042553191489365
315,SF,Deebo Samuel,Other,40.50000000000001,12,27,79.50000000000003,42.0,1.8928571428571435
316,SF,Deebo Samuel,Zone,76.60000000000001,24,39,139.6,188.0,0.7425531914893617
317,LV,Demarcus Robinson,Man,12.600000000000001,6,11,29.599999999999998,179.0,0.1653631284916201
318,LV,Demarcus Robinson,Other,3.5,0,5,8.5,5.0,1.7
319,LV,Demarcus Robinson,Zone,17.900000000000006,12,13,42.9,206.0,0.20825242718446602
