team,playerName,Routes Run,DropType_descr,FP_yards,FP_TD,FP_receiving,FP_total,Routes Run,FP/routes,plays,totalPlays,freq
CAR,DJ Moore,34.0,0/1 Step,15.700000000000001,6,21,42.699999999999996,34.0,1.2558823529411764,34,143,0.23776223776223776
CAR,DJ Moore,61.0,3 Step,43.500000000000014,12,33,88.50000000000001,61.0,1.4508196721311477,63,143,0.4405594405594406
CAR,DJ Moore,35.0,5 Step,36.50000000000001,0,20,56.49999999999999,35.0,1.614285714285714,38,143,0.26573426573426573
CAR,DJ Moore,8.0,7 Step,7.6000000000000005,0,3,10.600000000000001,8.0,1.3250000000000002,8,143,0.055944055944055944
SEA,DK Metcalf,52.0,0/1 Step,32.1,30,32,94.10000000000001,52.0,1.8096153846153848,53,119,0.44537815126050423
SEA,DK Metcalf,38.0,3 Step,30.899999999999995,18,23,71.9,38.0,1.892105263157895,39,119,0.3277310924369748
SEA,DK Metcalf,20.0,5 Step,22.700000000000003,12,9,43.7,20.0,2.185,21,119,0.17647058823529413
SEA,DK Metcalf,5.0,7 Step,6.9,6,3,15.9,5.0,3.18,6,119,0.05042016806722689
PHI,Dallas Goedert,14.0,0/1 Step,11.600000000000001,6,11,28.599999999999998,14.0,2.0428571428571427,17,77,0.22077922077922077
PHI,Dallas Goedert,28.0,3 Step,36.4,6,24,66.39999999999999,28.0,2.371428571428571,32,77,0.4155844155844156
PHI,Dallas Goedert,15.0,5 Step,25.400000000000002,12,14,51.4,15.0,3.4266666666666667,22,77,0.2857142857142857
PHI,Dallas Goedert,5.0,7 Step,9.0,0,4,13.0,5.0,2.6,6,77,0.07792207792207792
DAL,Dalton Schultz,11.0,0/1 Step,9.3,0,11,20.3,11.0,1.8454545454545455,12,88,0.13636363636363635
DAL,Dalton Schultz,37.0,3 Step,34.49999999999999,18,32,84.50000000000001,37.0,2.283783783783784,45,88,0.5113636363636364
DAL,Dalton Schultz,24.0,5 Step,24.699999999999992,6,19,49.7,24.0,2.0708333333333333,25,88,0.2840909090909091
DAL,Dalton Schultz,6.0,7 Step,6.6000000000000005,6,6,18.599999999999998,6.0,3.0999999999999996,6,88,0.06818181818181818
MIN,Dalvin Cook,9.0,5 Step,4.6000000000000005,0,7,11.6,9.0,1.2888888888888888,9,16,0.5625
MIN,Dalvin Cook,7.0,7 Step,2.9000000000000004,0,5,7.9,7.0,1.1285714285714286,7,16,0.4375
NE,Damien Harris,3.0,7 Step,4.1000000000000005,0,4,8.1,3.0,2.6999999999999997,4,4,1.0
ATL,Damien Williams,7.0,5 Step,5.0,6,5,16.0,7.0,2.2857142857142856,7,7,1.0
ATL,Damiere Byrd,10.0,0/1 Step,6.4,0,7,13.4,10.0,1.34,10,34,0.29411764705882354
ATL,Damiere Byrd,14.0,3 Step,11.5,0,11,22.5,14.0,1.6071428571428572,14,34,0.4117647058823529
ATL,Damiere Byrd,7.0,5 Step,10.5,6,5,21.500000000000004,7.0,3.071428571428572,7,34,0.20588235294117646
